AAA	BBB	Task	Title	Quantity	Extra mentors
Dutch	Frisian	28	Manually create a transfer lexicon from a word list in .dix format	25	unhammer
Serbo-Croatian	Russian	28	Manually create a transfer lexicon from a word list in .dix format	25	fpetkovski,hperadin
Avar	Russian	28	Manually create a transfer lexicon from a word list in .dix format	25	
Macedonian	Bulgarian	28	Manually create a transfer lexicon from a word list in .dix format	25	fpetkovski,hperadin
Swedish	Danish	28	Manually create a transfer lexicon from a word list in .dix format	25	unhammer,
Albanian	Macedonian	28	Manually create a transfer lexicon from a word list in .dix format	25	fpetkovski,hperadin
Albanian	English	28	Manually create a transfer lexicon from a word list in .dix format	25	fpetkovski,hperadin
Kazakh	Karakalpak	28	Manually create a transfer lexicon from a word list in .dix format	25	jnw
Tatar	Bashkir	28	Manually create a transfer lexicon from a word list in .dix format	25	jnw,selimcan
Turkish	Tatar	28	Manually create a transfer lexicon from a word list in .dix format	25	jnw,selimcan
Romanian	Aromanian	28	Manually create a transfer lexicon from a word list in .dix format	25	
Kazakh	Kyrgyz	28	Manually create a transfer lexicon from a word list in .dix format	25	jnw
Finnish	Estonian	28	Manually create a transfer lexicon from a word list in .dix format	25	unhammer,
Hindi	Urdu	28	Manually create a transfer lexicon from a word list in .dix format	25	nvohra
					
Persian	Tajik	29	Proofread an existing dictionary	20	jnw
Hindi	Urdu	29	Proofread an existing dictionary	20	nvohra
					
					
Avar	Russian	30	Extract test sentences from a grammar	1	
					
					
Kazakh		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Tatar		23	Hand-correct the spelling of 50 words	5	tapirine,jnw,selimcan
Kyrgyz		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Uzbek		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Kumyk		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Nogay		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Bashkir		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Avar		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Turkmen		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Maltese		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
Armenian		23	Hand-correct the spelling of 50 words	5	tapirine,jnw
					
					
Khmer		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Thai		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Chinese		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Lao		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Burmese		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Dzongkha		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
Vietnamese		33	Write a dictionary-based tokeniser for Asian languages	6	mlforcada
					
					
Windows		24	Document how to install a voikko spellchecker for LibreOffice	1	
OS X		24	Document how to install a voikko spellchecker for LibreOffice	1	
Fedora		24	Document how to install a voikko spellchecker for LibreOffice	1	
Ubuntu/Debian		24	Document how to install a voikko spellchecker for LibreOffice		
					
inittab	<a rel="nofollow" class="external text" href="http://mywiki.wooledge.org/ProcessManagement?highlight=%28signals%29#How_can_I_check_to_see_if_my_game_server_is_still_running.3F__I.27ll_put_a_script_in_crontab.2C_and_if_it.27s_not_running.2C_I.27ll_restart_it...">like this</a>	56	test and document init scripts for apertium-apy	1	
systemd (Fedora, Arch Linux, SUSE)	<a rel="nofollow" class="external text" href="http://mywiki.wooledge.org/ProcessManagement?highlight=%28signals%29#How_can_I_check_to_see_if_my_game_server_is_still_running.3F__I.27ll_put_a_script_in_crontab.2C_and_if_it.27s_not_running.2C_I.27ll_restart_it...">like this</a>	56	test and document init scripts for apertium-apy	1	
upstart (Ubuntu)	<a rel="nofollow" class="external text" href="http://mywiki.wooledge.org/ProcessManagement?highlight=%28signals%29#How_can_I_check_to_see_if_my_game_server_is_still_running.3F__I.27ll_put_a_script_in_crontab.2C_and_if_it.27s_not_running.2C_I.27ll_restart_it...">like this</a>	56	test and document init scripts for apertium-apy	1	
					
					
Kazakh		125	train tesseract on a language with no available tesseract data	1	
Mongolian		125	train tesseract on a language with no available tesseract data	1	
Kyrgyz		125	train tesseract on a language with no available tesseract data	1	
Tatar		125	train tesseract on a language with no available tesseract data	1	
Avar		125	train tesseract on a language with no available tesseract data	1	
Uzbek (Latin)		125	train tesseract on a language with no available tesseract data	1	
Uzbek (Cyrillic)		125	train tesseract on a language with no available tesseract data	1	
Karakalpak (Latin)		125	train tesseract on a language with no available tesseract data	1	
					
					
Mongolian	Kazakh	126	scrape a freely available dictionary using tesseract	1	
Kazakh	English	126	scrape a freely available dictionary using tesseract	1	
Uzbek	Kyrgyz	126	scrape a freely available dictionary using tesseract	1	
Russian	Kyrgyz	126	scrape a freely available dictionary using tesseract	1	
Kyrgyz	English	126	scrape a freely available dictionary using tesseract	1	
Russian	Shor	126	scrape a freely available dictionary using tesseract	1	
Turkmen	Russian	126	scrape a freely available dictionary using tesseract	1	
Turkmen	Turkish	126	scrape a freely available dictionary using tesseract	1	
Turkmen	English	126	scrape a freely available dictionary using tesseract	1	
Crimean Tatar	Russian	126	scrape a freely available dictionary using tesseract	1	
Ukrainian	Russian	126	scrape a freely available dictionary using tesseract	1	
Crimean Tatar	Ukrainian	126	scrape a freely available dictionary using tesseract	1	
Tajik	English	126	scrape a freely available dictionary using tesseract	1	
Wayuu	Spanish	126	scrape a freely available dictionary using tesseract	1	
					
					
massagan	http://massagan.com/forum.php	114	Scraper for freely available forum content	1	
kazakh.ru	http://www.kazakh.ru/talk/	114	Scraper for freely available forum content	1	
massaget	http://massaget.kz/forum/	114	Scraper for freely available forum content	1	
asyl-bilim	http://asyl-bilim.kz/forum/	114	Scraper for freely available forum content	1	
haos.ucoz.kz	http://haos.ucoz.kz/forum	114	Scraper for freely available forum content	1	
					
1		105	Document materials for a language not yet on our wiki	1	
2		105	Document materials for a language not yet on our wiki	1	
3		105	Document materials for a language not yet on our wiki	1	
4		105	Document materials for a language not yet on our wiki	1	
5		105	Document materials for a language not yet on our wiki	1	
					
1		81	Write a contrastive grammar	1	
2		81	Write a contrastive grammar	1	
3		81	Write a contrastive grammar	1	
4		81	Write a contrastive grammar	1	
5		81	Write a contrastive grammar	1	
					
1		76	What's difficult about this language pair?	1	
2		76	What's difficult about this language pair?	1	
3		76	What's difficult about this language pair?	1	
4		76	What's difficult about this language pair?	1	
5		76	What's difficult about this language pair?	1	
					
1		74	Installation instructions for missing GNU/Linux distributions or versions	1	
2		74	Installation instructions for missing GNU/Linux distributions or versions	1	
					
1		75	Installing Apertium in lightweight GNU/Linux distributions	1	
2		75	Installing Apertium in lightweight GNU/Linux distributions	1	
					
1		46	Dictionary conversion	1	
2		46	Dictionary conversion	1	
3		46	Dictionary conversion	1	
					
1		47	Dictionary conversion in python	1	
2		47	Dictionary conversion in python	1	
3		47	Dictionary conversion in python	1	
					
Ukrainian		170	Run apertium-dixtools paradigm merger on a dictionary	1	quirille
Russian		170	Run apertium-dixtools paradigm merger on a dictionary	1	quirille
