ID	Multi	Title	Time	Mentors	Type	Tags
30	Yes	Extract test sentences from a grammar	72	ftyers	research	grammar,linguistics
						
						
33	Yes	Write a dictionary-based tokeniser for Asian languages	72	ftyers	code,research	asian,tokeniser,languages
34	Yes	Evaluate tokenisation strategies for a South-Asian language	72	ftyers	code,research	asian,tokeniser,languages
						
36	No	Implement language detection in apertium-apy	120	ftyers	code	python, api, detection
37	Yes	Write a review of the available literature on word segmentation 	120	ftyers	research	asian,tokeniser,languages
						
39	Yes	Improve the quality of a language pair by adding 50 words to its vocabulary	72	mlforcada	quality	dictionary,xml
40	Yes	Add/correct one structural transfer rule to an existing language pair	72	mlforcada	quality	linguistics,xml
41	Yes	 Write 10 lexical selection rules for a language pair already set up with lexical selection	72	mlforcada,ftyers	quality,code	linguistics,xml
42	Yes	Set up a language pair to use lexical selection and write 5 rules	72	mlforcada,ftyers	quality,code	linguistics,xml
43	Yes	Write 10 constraint grammar rules to repair part-of-speech tagging errors	72	mlforcada,ftyers	quality,code	cg,pos,grammar
						
46	Yes	Dictionary conversion	72	jnw	code	python
47	Yes	Dictionary conversion in python	72	jnw	code	python
						
						
50	No	SSL in apertium-apy		jnw,ftyers,unhammer	code	api, html
51	No	libvoikko support for apertium-apy		jnw,ftyers	code	api, spelling, python
52	No	*-morph and *-gener modes for apertium-apy		jnw,ftyers,unhammer	code	python, api, xml
53	No	performance tracking in apertium-apy		jnw,ftyers,unhammer	code	python, scheduling, api
54	No	apertium-apy gateway		jnw,ftyers,unhammer	code	api, python
55	No	apertium-apy gateway server pool management		jnw,ftyers,unhammer	code	api, python, scheduling
56	Yes	test and document init scripts for apertium-apy		jnw, unhammer	documentation, quality	init, linux, api
57	No	cronjob to detect a "hang" for apertium-apy		jnw, unhammer	documentation, quality	api, linux, cron
58	No	make apertium-apy use one lock per pipeline		ftyers, jnw, unhammer	documentation, quality	api, python
59	No	make voikkospell understand apertium stream format input		ftyers, jnw, tapirine	code	python, spelling
60	No	make voikkospell return output in apertium stream format		ftyers, jnw, tapirine	code	python, spelling
61	No	libvoikko support for OS X		ftyers, jnw, tapirine	code	spelling, mac
62	No	geriaoueg hover functionality: firefox/iceweasel		ftyers, jnw	code, interface	javascript, browser, firefox
63	No	geriaoueg hover functionality: chrome/chromium			code, interface	javascript, browser, chrome
64	No	geriaoueg language/pair selection: firefox/iceweasel		ftyers, jnw	code	javascript, browser, firefox
65	No	geriaoueg language/pair selection: chrome/chromium			code	javascript, browser, chrome
66	No	geriaoueg lookup code: firefox/iceweasel		ftyers, jnw	code	javascript, browser, firefox
67	No	geriaoueg lookup code: chrome/chromium			code	javascript, browser, chrome
68	No	apertium-apy translation-per-word mode		ftyers, jnw, unhammer	code	api, python
69	No	apertium-apy mode for geriaoueg (biltrans in context)		ftyers, jnw, unhammer	code	api, python
70	No	make apertium-quality work with python3.3 on all platforms	120	jnw, ftyers	quality	python, debugging, OS X, linux
71	No	How much of a given sentence pair is explained by Apertium?	120	mlforcada	code	
72	Yes	Compare Apertium with another MT system and improve it	120	mlforcada, jimregan	quality	
73	No	Check that the Apertium guide for Windows users still works	120	ftyers	documentation	testing, windows
74	Yes	Installation instructions for missing GNU/Linux distributions or versions	120	mlforcada, jnw	documentation	
75	Yes	Installing Apertium in lightweight GNU/Linux distributions	120	mlforcada	documentation	
76	Yes	What's difficult about this language pair?	120	mlforcada, jimregan	documentation	
77	No	Video guide to installation	120	mlforcada, jnw	documentation	
78	No	Apertium in 5 slides	120	mlforcada, jnw	documentation	
79	No	Improved "Become a language-pair developer" document	120	mlforcada, jnw	documentation	
80	No	An entry test for Apertium	120	mlforcada	documentation	
81	Yes	Write a contrastive grammar	120	ftyers, jnw	research	
82	No	The most frequent Romance-to-Romance transfer rules	120	mlforcada	research	
83	Yes	Improve the quality of a language pair by allowing for alternative translations	120	ftyers, mlforcada, unhammer	quality	
84	No	Get bible aligner working (or rewrite it)	120	jnw	quality, code	aligners, python
85	No	tesseract interface for apertium languages        	120	jnw, ftyers	research	ocr, spelling
86	No	Abstract the formatting for the simple-html interface.	120	ftyers, jnw	interface	js, html, ui
87	No	simple-html spell-checker interface	120	ftyers, jnw	interface	js, html, ui, spelling
88	No	simple-html spell-checker code	120	ftyers, jnw	code	js, html, ui, spelling, api
89	No	simple-html morphological analysis/generation interface	120	ftyers, jnw	interface	js, html, ui
90	No	simple-html morphological analysis/generation code	120	ftyers, jnw, unhammer	code	js, html, ui, api
						
						
						
94	No	Light Apertium bootable ISO for small machines	120	mlforcada, jnw	code	
95	No	Apertium in XLIFF workflows	120	mlforcada	code	
96	No	Examples of minimum files where an Apertium language pair messes up (X)HTML formatting	120	mlforcada	quality	
97	Yes	Make sure an Apertium language pair does not mess up (X)HTML formatting	120	mlforcada	code	
98	Yes	Examples of minimum files where an Apertium language pair messes up wordprocessor formatting	72	mlforcada	quality	
99	Yes	Make sure an Apertium language pair does not mess up wordprocessor (ODT, RTF) formatting	72	mlforcada	code	
100	Yes	Start a language pair involving Interlingua	72	mlforcada	code	
101	No	Generating 'machine translation memories'	72	mlforcada,jnw	code	
102	No	scraper for all wiktionary pages in a category	72	jnw, ftyers	code	python, mediawiki, scrapers
103	No	 scraper of wiktionary translations between language x and y 	72	jnw, ftyers	code	python, mediawiki, scrapers, dictionaries
104	No	better wikipedia extractor script	72	jnw, ftyers	code	python, mediawiki
105	Yes	Document materials for a language not yet on our wiki	72	ftyers, jnw	research	
106	Yes	Tag and align a corpus	72	ftyers	research	
107	No	Write a program to convert the Giellatekno Faroese CG to Apertium tags	72	ftyers, trondtr	code	
						
						
						
111	No	Apertium plugin for WikiBhasha	72	jnw, ftyers	code	mediawiki, php
112	No	Make WikiBhasha take content from any language's wikipedia	72	jnw, ftyers	code, quality	mediawiki, php
						
114	Yes	Scraper for freely available forum content	72	jnw	code	scrapers, python
115	No	Investigate how orthographic modes on kk.wikipedia.org are implemented	72	jnw	research	mediawiki, php
116	No	Write a transliteration plugin for mediawiki	72	jnw	code	mediawiki, php
						
						
119	No	Generalise phenny/begiak git plugin	72	jnw	quality, code	python, irc
120	No	phenny/begiak git plugin commit info function	72	jnw	code	python, irc
121	No	phenny/begiak git plugin recent function	72	jnw	code	python, irc
122	No	phenny/begiak git plugin status	72	jnw	code	python, irc
123	No	Document phenny/begiak git plugin	72	jnw	documentation	python, irc
124	No	phenny/begiak svn plugin info function	72	jnw	code, quality	python, irc
125	Yes	train tesseract on a language with no available tesseract data	72	jnw, ftyers	research	ocr, training
126	Yes	scrape a freely available dictionary using tesseract	72	jnw, ftyers	research	ocr, scraping, dictionaries
127	No	make scraper plugin for azadliq.org	72	jnw	code	python, scrapers
128	No	make RFERL scraper documentation read like a HOWTO guide	48	jnw	documentation	python, scrapers
129	No	Write an sentence aligner for the UDHR	72	jnw	code	python, aligners
						
						
						
						
						
135	No	write a browser interface for the concordancer	96	jnw, ftyers	code	python, html, js, concordancer
136	No	make concordancer work with output of analyser	72	jnw, ftyers	code	python, concordancer
137	No	regex searching in concordancer	48	jnw, ftyers	code	python, concordancer
138	No	scraper for all text urls from kumukia.ru/adabiat	48	jnw, ftyers	code	python, scrapers
139	No	scraper for all article urls from kumukia.ru/cat-qumuq.html	48	jnw, ftyers	code	python, scrapers
140	No	write a scraper plugin for kumukia.ru/adabiat texts       	72	jnw, ftyers	code	python, scrapers
141	No	write a scraper plugin for kumukia.ru/cat-qumuq.html articles	72	jnw, ftyers	code	python, scrapers
142	No	apache forwarding to apertium-apy	72	jnw, ftyers	research	api, apache, http
143	No	fix pairviewer's 2- and 3-letter code conflation problems	72	jnw	quality	pairviewer, html, js
144	No	add language searching to pairviewer	72	jnw	code	pairviewer, html, js
145	No	come up with better colours for pairviewer	72	jnw	quality	pairviewer, html, js
146	No	map support for pairviewer ("pairmapper")	72	jnw	code	maps, html, js
147	No	coordinates for Caucasian languages	72	jnw	research	maps, xml
148	No	coordinates for Central Asian languages	72	jnw	research	maps, xml
149	No	coordinates for Mongolic languages	72	jnw	research	maps, xml
150	No	draw languages as areas for pairmapper	72	jnw	code	maps, html, js, pairviewer
151	No	georeference  language areas for Tatar, Bashqort, and Chuvash	72	jnw	research	maps, xml
152	No	georeference language areas for North Caucasus Turkic languages	96	jnw	research	maps, xml
153	No	georeference language areas for IE and Mongolic Caucasus-area languages	72	jnw	research	maps, xml
154	No	georeference language areas for North Caucasus languages	72	jnw	research	maps, xml
155	No	georeference language areas for misc Caucasus-area languages	72	jnw	research	maps, xml
156	No	georeference language areas for Kazakh	72	jnw	research	maps, xml
157	No	georeference language areas for Karakalpak and Kyrgyz	72	jnw	research	maps, xml
158	No	georeference language areas for  Uzbek and Uyghur	72	jnw	research	maps, xml
159	No	georeference language areas for Tajik and Turkmen	72	jnw	research	maps, xml
160	No	georeference language areas for Russian	72	jnw	research	maps, xml
161	No	georeference language areas for Ukrainian and Belorussian	72	jnw	research	maps, xml
162	No	split nor into nob and nno in pairviewer	72	jnw, unhammer	quality, code	js, html, pairviewer, python
163	No	add support to pairviewer for regional and alternate orthograpic modes	72	jnw	quality, code	js, html, pairviewer, python
164	No	using language transducers for predictive text on Android	72	jnw	research	android, fst
165	No	custom predictive text keyboards for Android	72	jnw	research	android, fst
166	No	phenny/begiak ethnologue plugin	72	jnw	code	python, irc
167	No	phenny/begiak url module localisation improvements	72	jnw, ftyers, trondtr	quality, code	python, irc
168	No	phenny/begiak mediawiki plugin(s) support for subsections	72	jnw	quality, code	python, irc
169	No	monodix support for stem-counting script	72	jnw	code	python, dix
170	Yes	Run apertium-dixtools paradigm merger on a dictionary	72	ftyers	quality	java,xml
