ID	Title	Description
11	Use external language detection in simple-html	 Make <a href="http://wiki.apertium.org/wiki/Simple-html">simple-html</a> interface not use 2.9MB javascript module for language detection/identification.  Instead it should query <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> with text to get a list of languages with probabilities. 
12	Wiktionary language-page count calculator	The objective of this task is to write a script which calculates the number of pages in a Wiktionary category for a language. The code should be modular, able to work with any given Wiktionary, and should return e.g. the number of pages in Category:Faroese_language. 
13	Bison syntax-tree visualisation	Write a program which reads a grammar using bison, parses a sentence and outputs the syntax tree as text, or graphViz or something. You can find more information here: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Syntax_tree_printing_in_bison
14	Document how to install WikiBhasha	
15	Intersection of two transducers in lttoolbox	The objective of this tasks is to write code in C++ using the lttoolbox library to intersect two finite-state transducers. The first transducer is a bilingual dictionary that has been converted into prefixes and the second transducer is the monolingual dictionary. You can find out more about the task on this web page: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Intersection_of_ATT_format_transducers
16	Front end to intersection in lttoolbox (lt-trim)	The objective of this task is to write a C++ program that provides a front end to intersect two transducers. You can find out more at: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Intersection_of_ATT_format_transducers
17	Extract translations from Wiktionary	For language pair AAA and BBB extract all the possible translations from Wiktionary. You could do this with a screenscraping or a databases/wikicode parsing methodology. 
18	Extract paradigm sketches from a dictionary	The objective of this task is to extract paradigm "sketches" for AAA of the kind found in dictionaries and sort them into the different categories. It will involve text processing and quite a bit of shell scripting or python. For more information see: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Extracting_paradigm_sketches_from_dictionaries
19	Morphologically analyse and align parallel corpus	The objective of this task is to take a parallel corpus for AAA and BBB and to morphologically analyse it using Apertium and then word-align it, for example using GIZA++. 
20	Hand-annotate 250 words of text	The objective of this task is to manually morphologically disambiguate 250 words of running words of text in AAA. More information can be found on the Wiki here: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Morphologically_disambiguating_text
21	Extract parallel corpus from web site	The objective of this task is to download web pages from a bilingual (or multilingual) web site and document align them. This means finding out which pages are translations of other pages.
22	Sentence align parallel corpus	Given a document-aligned parallel corpus, use a sentence splitter (for example NLTK Punkt) and sentence aligner (for example hunalign) to produce a sentence-aligned parallel corpus.
23	Hand-correct the spelling of 50 words	The objective of this task is to read through documents (e.g. from Wikipedia) and find and correct spelling errors in them, keeping a note of where you found the error. For further information see: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Hand-correct_spelling_errors
24	Document how to install a voikko spellchecker for LibreOffice	The objective of this task is to document how to install a spellchecker using libvoikko and LibreOffice on the AAA operating system for any apertium language that generates a libvoikko spell checker module. For further information, contact your mentor.
25	Document how to install a voikko spellchecker for libenchant	The objective of this task is to document how to install a spellchecker using libvoikko and libenchant for any apertium language that generates a libvoikko spell checker module. For further information, contact your mentor.
26	Convert paradigm tables to speling format	The objective of this task is to take a grammar for AAA and copy out (or extract) the paradigms in speling format. A description of the speling format can be found here: http://wiki.apertium.org/wiki/Speling_format. Your mentor will provide you with the grammar.
27	Check output of a word-aligner to make a bilingual dictionary	The objective of this task is to check the output of a word aligner in order to make a bilingual dictionary between AAA and BBB. For further information see: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Check_output_of_word_aligner
28	Manually create a transfer lexicon from a word list in .dix format	The objective of this task is to manually create a transfer lexicon for AAA and BBB. A transfer lexicon is a file that includes words, their equivalents in another language, and tags describing some kinds of structural transfer that might need to take place. 
29	Proofread an existing dictionary	The objective of this task is to read through an existing dictionary for AAA and BBB and check that the entries are accurate and complete. If an entry is wrong, you should change it, if it is incomplete you should add the missing entries. Contact your mentor on IRC for a copy of the dictionary.
30	Extract test sentences from a grammar	The objective of this task is to read through a grammar of AAA in BBB and to extract test sentences. Test sentences are short sentences, of under 10 words which demonstrate grammatical differences. Talk to your mentor for details on how to encode the test sentences.
31	Document how to set up libreoffice-voikko in Windows	
32	Document how to use WikiBhasha	
33	Write a dictionary-based tokeniser for Asian languages	The objective of this task is to write a tokeniser for AAA. A tokeniser takes a sentence and splits it into words. One of the challenges of building a tokeniser for AAA is that spaces are not used to separate words. The tokeniser will have some generic code for reading and writing output, and will use one or more algorithms to determine how to segment the sentence. Read more about this task here: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Tokenisation_for_spaceless_orthographies
34	Evaluate tokenisation strategies for a South-Asian language	
		
		
37	Write a review of the available literature on word segmentation 	The objective of this task is to write a review of the available search on word segmentation for AAA. This will involve searching for and reading scientific papers and also looking for available software. Further information on this task at: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Tokenisation_for_spaceless_orthographies
38	Document how to install WikiBhasha	
39	Improve the quality of a language pair by adding 50 words to its vocabulary	 Add words to language pair XX-YY and test that the new vocabulary works. <a href="http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Add_words" title="Task ideas for Google Code-in/Add words">Read more</a>... 
40	Add/correct one structural transfer rule to an existing language pair	 Add or correct a structural transfer rule to an existing language pair and test that it works. <a href="http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Add_transfer_rule" title="Task ideas for Google Code-in/Add transfer rule">Read more</a>... 
41	 Write 10 lexical selection rules for a language pair already set up with lexical selection	 Add 10 lexical selection rules to improve the lexical selection quality of a pair and test them to ensure that they work. <a href="http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Add_lexical-select_rules" title="Task ideas for Google Code-in/Add lexical-select rules">Read more</a>... 
42	Set up a language pair to use lexical selection and write 5 rules	 First set up a language pair to use the new lexical selection module (this will involve changing configure scripts, makefile and <a href="http://wiki.apertium.org/wiki/Modes" title="Modes">modes</a> file). Then write 5 lexical selection rules. <a href="http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Setup_and_add_lexical_selection" title="Task ideas for Google Code-in/Setup and add lexical selection">Read more</a>... 
43	Write 10 constraint grammar rules to repair part-of-speech tagging errors	 Find some tagging errors and write 10 constraint grammar rules to fix the errors. <a href="http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Add_constraint-grammar_rules" title="Task ideas for Google Code-in/Add constraint-grammar rules">Read more</a>... 
		
46	Dictionary conversion	 Write a conversion module for an existing dictionary for apertium-dixtools. 
47	Dictionary conversion in python	 Write a conversion module for an existing free bilingual dictionary to <a href="http://wiki.apertium.org/wiki/Lttoolbox" title="Lttoolbox">lttoolbox</a> format using Python. 
		
		
50	SSL in apertium-apy	 Make <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> optionally use SSL. (If you put simple-html on an ssl domain, new browsers won't let you do plaintext/non-ssl ajax). 
51	libvoikko support for apertium-apy	 Write a function for <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> that checks the spelling of an input string and for each word returns whether the word is correct, and if unknown returns suggestions.  Whether segmentation is done by the client or by apertium-apy will have to be figured out.  You will also need to add scanning for spelling modes to the initialisation section.  Try to find a sensible way to structure the requests and returned data with JSON.  Add a switch to allow someone to turn off support for this (use argparse set_false).  
52	*-morph and *-gener modes for apertium-apy	 Write a function each for <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> that does morphological analysis and morphological generation.  You'll also need to add scanning for such modes to the initialisation section.  Try to find a sensible way to structure the requests and returned data with JSON.  Add a switch to allow someone to turn off support for this (use argparse set_false). 
53	performance tracking in apertium-apy	 Add a way for <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> to keep track of number of words in input and time between sending input to a pipeline and receiving output, for the last n (e.g., 100) requests, and write a function to return the average words per second over something&lt;n (e.g., 10) requests. 
54	apertium-apy gateway	 Write an intermediary server that takes <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> requests and forwards them to one server from a list of apertium-apy servers:ports (round-robin style or similar) 
55	apertium-apy gateway server pool management	 write a function that's called every n requests that polls the server pool and reorders the list of available servers based on speed (i.e., fastest servers first) 
56	test and document init scripts for apertium-apy	 Try setting up apertium-apy to run on startup using an init script in a formalism for AAA using BBB, check that it actually starts up on startup and restarts when you kill it.  Document how you did it on the wiki 
57	cronjob to detect a "hang" for apertium-apy	 Write a script that tries to translate something via a local <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a>, and if it doesn't respond nicely within a certain amount of time (e.g. curl times out and exits with non-zero status, or the translation is wrong/empty), then "initctl restart apertium-apy" (Upstart) or "systemctl restart apertium-apy" (systemd); post the contents of the script on the wiki and how to set it up. 
58	make apertium-apy use one lock per pipeline	 make <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a> use one lock per pipeline, since we don't need to wait for mk-en just because sme-nob is running. 
59	make voikkospell understand apertium stream format input	 Make voikkospell understand apertium stream format input, e.g.  ^word/analysis1/analysis2$, voikkospell should only interpret the 'word' part to be spellchecked. 
60	make voikkospell return output in apertium stream format	 make voikkospell return output suggestions in apertium stream format, e.g. ^correctword$ or ^incorrectword/correct1/correct2$ 
61	libvoikko support for OS X	 Make a spell server for OS X's system-wide spell checker to use arbitrary languages through libvoikko.  See <a rel="nofollow" class="external free" href="https://developer.apple.com/library/mac/documentation/Cocoa/Conceptual/SpellCheck/Tasks/CreatingSpellServer.html#//apple_ref/doc/uid/20000770-BAJFBAAH">https://developer.apple.com/library/mac/documentation/Cocoa/Conceptual/SpellCheck/Tasks/CreatingSpellServer.html#//apple_ref/doc/uid/20000770-BAJFBAAH</a> for more information 
62	geriaoueg hover functionality: firefox/iceweasel	 firefox/iceweasel plugin which, when enabled, allows one to hover over a word and get a pop-up; interface only.  Should be something like <a rel="nofollow" class="external autonumber" href="http://www.bbc.co.uk/apps/nr/vocab/cy-en/www.bbc.co.uk/newyddion/">[1]</a> or <a rel="nofollow" class="external autonumber" href="http://lingro.com">[2]</a> .
63	geriaoueg hover functionality: chrome/chromium	 chrome/chromium plugin which, when enabled, allows one to hover over a word and get a pop-up; interface only.  Should be something like <a rel="nofollow" class="external autonumber" href="http://www.bbc.co.uk/apps/nr/vocab/cy-en/www.bbc.co.uk/newyddion/">[3]</a> or <a rel="nofollow" class="external autonumber" href="http://lingro.com">[4]</a> .  
64	geriaoueg language/pair selection: firefox/iceweasel	 firefox/iceweasel plugin which queries apertium API for available languages and allows the user to set the language pair in preferences 
65	geriaoueg language/pair selection: chrome/chromium	 chrome/chromium plugin which queries apertium API for available languages and allows the user to set the language pair in preferences 
66	geriaoueg lookup code: firefox/iceweasel	 firefox/iceweasel plugin which queries apertium API for a word by sending a context (±n words) and the position of the word in the context and gets translation for language pair xxx-yyy 
67	geriaoueg lookup code: chrome/chromium	 chrome/chromium plugin which queries apertium API for a word by sending a context (±n words) and the position of the word in the context and gets translation for language pair xxx-yyy 
68	apertium-apy translation-per-word mode	<a href="http://wiki.apertium.org/wiki/apertium-apy">apertium-apy</a> function/mode that runs analyser (-morph), then returns output of biltrans for each analysis; will need to decide whether it makes sense to return once, as a list, or return multiple times, once for each analysis (probably the former) 
69	apertium-apy mode for geriaoueg (biltrans in context)	<a href="http://wiki.apertium.org/wiki/apertium-apy">apertium-apy</a> function that accepts a context (e.g., ±n ~words around word) and a position in the context of a word, gets biltrans output on entire context, and returns translation for the word 
70	make apertium-quality work with python3.3 on all platforms	 migrate apertium-quality away from distribute to newer setup-tools so it installs correctly in more recent versions of python (known incompatible: python3.3 OS X, known compatible: MacPorts python3.2) 
71	How much of a given sentence pair is explained by Apertium?	 Write (in some scripting language of your choice) a command-line program that takes an Apertium language pair, a source-language sentence S, and a target-language sentence T, and outputs the set of pairs of subsegments (s,t) such that s is a subsegment of S, t a subsegment of T and t is the Apertium translation of s or vice-versa (a subsegment is a sequence of whole words). 
72	Compare Apertium with another MT system and improve it	 This tasks aims at improving an Apertium language pair when a web-accessible system exists for it in the 'net. Particularly good if the system is (approximately) rule-based such as <a rel="nofollow" class="external text" href="http://www.lucysoftware.com/english/machine-translation/lucy-lt-kwik-translator-/">Lucy</a>, <a rel="nofollow" class="external text" href="http://www.reverso.net/text_translation.aspx?lang=EN">Reverso</a>, <a rel="nofollow" class="external text" href="http://www.systransoft.com/free-online-translation">Systran</a> or <a rel="nofollow" class="external text" href="http://www.freetranslation.com/">SDL Free Translation</a>: (1) Install the Apertium language pair,  ideally such that the source language is a language you know (L₂) and the target language a language you use every day (L₁). (2) Collect a corpus of text (newspaper, wikipedia) Segment it in sentences (using e.g., libsegment-java or a similar processor and a <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Segmentation_Rules_eXchange">SRX</a> segmentation rule file borrowed from e.g. OmegaT) and put each sentence in a line. Run the corpus through Apertium and through the other system Select those sentences where both outputs are very similar (e.g, 90% coincident). Decide which one is better. If the other language is better than Apertium, think of what modification could be done for Apertium to produce the same output, and make 3 such modifications.
73	Check that the Apertium guide for Windows users still works	 We have an Apertium guide for Windows users, to help them install on Windows. Check that it works for a recent/current version of Windows, and if not, report any bugs you find. 
74	Installation instructions for missing GNU/Linux distributions or versions	 Adapt installation instructions for a particular GNU/Linux or Unix-like distribution if the existing instructions in the Apertium wiki do not work or have bugs of some kind. Prepare it in your user space in the Apertium wiki. It may be uploaded to the main wiki when approved. 
75	Installing Apertium in lightweight GNU/Linux distributions	 Give instructions on how to install Apertium in one of the small or lightweight GNU/Linux distributions such as <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Damn_Small_Linux">Damn Small Linux</a> or <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/SliTaz_GNU/Linux">SliTaz</a>, so that may be used in older machines 
76	What's difficult about this language pair?	 For a language pair that is not in trunk or staging such that you know well the two languages involved, write a document describing the main problems that Apertium developers would encounter when developing that language pair (for that, you need to know very well how Apertium works). Note that there may be two such documents, one for A→B and the other for B→A Prepare it in your user space in the Apertium wiki.It may be uploaded to the main wiki when approved. 
77	Video guide to installation	 Prepare a screencast or video about installing Apertium; make sure it uses a format that may be viewed with Free software. When approved by your mentor, upload it to youtube, making sure that you use the HTML5 format which may be viewed by modern browsers without having to use proprietary plugins such as Adobe Flash. 
78	Apertium in 5 slides	 Write a 5-slide HTML presentation (only needing a modern browser to be viewed and ready to be effectively "karaoked" by some else in 5 minutes or less: you can prove this with a screencast) in the language in which you write more fluently, which describes Apertium, how it works, and what makes it different from other machine translation systems. 
79	Improved "Become a language-pair developer" document	 Read the document <a href="http://wiki.apertium.org/wiki/Become_a_language_pair_developer_for_Apertium" title="Become a language pair developer for Apertium">Become_a_language_pair_developer_for_Apertium</a> and think of ways to improve it (don't do this if you have not done any of the language pair tasks). Send comments to your mentor and/or repare it in your user space in the Apertium wiki. There will be a chance to change the document later in the Apertium Wiki. 
80	An entry test for Apertium	 Write 20 multiple-choice questions about Apertium. Each question will give 3 options of which only one is true, so that we can build an "Apertium exam" for future GSoC/GCI/developers. Optionally, add an explanation for the correct answer.  
81	Write a contrastive grammar	 Using a grammar book(s)/resource(s) document 10 ways in which the grammar of two languages differ, with no fewer than 3 examples of each difference.  Put it on the wiki under Language1_and_Language2/Contrastive_grammar.  See <a href="http://wiki.apertium.org/wiki/Farsi_and_English/Pending_tests" title="Farsi and English/Pending tests">Farsi_and_English/Pending_tests</a> for an example of a contrastive grammar that a previous GCI student made.  
82	The most frequent Romance-to-Romance transfer rules	 Study the .t1x transfer rule files of Romance language pairs and distill 5-10 common rules that are common to all of them, perhaps by rewriting them into some equivalent form 
83	Improve the quality of a language pair by allowing for alternative translations	 Improve the quality of a language pair by (a) detecting 5 cases where the (only) translation provided by the bilingual dictionary is not adequate in a given context, (b) adding the lexical selection module to the language, and (c) writing effective lexical selection rules to exploit that context to select a better translation  
84	Get bible aligner working (or rewrite it)	 trunk/apertium-tools/bible_aligner.py - Should take two bible translations and output a tmx file with one verse per entry.  There is a standard-ish plain-text bible translation format that we have bible translations in, and we have files that contain the names of verses of various languages mapped to English verse names 
85	tesseract interface for apertium languages        	 Find out what it would take to integrate apertium or voikkospell into tesseract.  Document thoroughly available options on the wiki. 
86	Abstract the formatting for the simple-html interface.	 The simple-html interface should be easily customisable so that people can make it look how they want. The task is to abstract the formatting and make one or more new stylesheets to change the appearance. This is basically making a way of "skinning" the interface. 
87	simple-html spell-checker interface	 Add an enablable spell-checker module to the simple-html interface.  Get fancy with jquery/etc. so that e.g., misspelled words are underlined in red and recommendations for each word are given in some sort of drop-down menu.  Feel free to implement a dummy function for testing spelling to test the interface until the "simple-html spell-checker code" task is complete. 
88	simple-html spell-checker code	 Add code to the simple-html interface that allows spell checking to be performed.  Should send entire string, and be able to match each returned result to its appropriate input word.  Should also update as new words are typed. 
89	simple-html morphological analysis/generation interface	 Add an enablable morphology module to the simple-html interface.  Should accept text and display analysis (to be gotten via code in another task) or accept analyses and return text.  Functionality similar to <a rel="nofollow" class="external autonumber" href="http://elx.dlsi.ua.es/~fran/turkic/index.php">[5]</a>, but make interface nicer, and integratable into simple-html 
90	simple-html morphological analysis/generation code	 Add code to simple-html to query morphological analysis/generation function of apertium-apy and return results for interface to deal with accordingly 
		
		
		
94	Light Apertium bootable ISO for small machines	 Using <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Damn_Small_Linux">Damn Small Linux</a> or <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/SliTaz_GNU/Linux">SliTaz</a> or a similar lightweight GNU/Linux,  produce the minimum-possible bootable live ISO or live USB image that contains the OS, minimum editing facilities, Apertium, and a language pair of your choice. Make sure no package that is not strictly necessary for Apertium to run is included.
95	Apertium in XLIFF workflows	  Write a shell script and (if possible, using the filter definition files found in the documentation) a filter that takes an <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/XLIFF">XLIFF</a> file such as the ones representing a computer-aided translation job and populates with translations of all segments that are not translated, marking them clearly as machine-translated. 
96	Examples of minimum files where an Apertium language pair messes up (X)HTML formatting	  Sometimes, an Apertium language pair takes a valid HTML/XHTML source file but delivers an invalid HTML/XHTML target file, regardless of translation quality. This can usually be blamed on incorrect handling of superblanks in structural transfer rules. The task: (1) select a language pair (2) Install Apertium locally from the Subversion repository; install the language pair; make sure that it works (3) download a series of HTML/XHTML files for testing purposes. Make sure they are valid using an HTML/XHTML validator (4) translate the valid files with the language pair (5) check if the translated files are also valid HTML/XHTML files; select those that aren't (6) find the first source of non-validity and study it, and strip the source file until you just have a small (valid!) source file with some text around the minimum possible example of problematic tags; save each such file and describe the error. 
97	Make sure an Apertium language pair does not mess up (X)HTML formatting	 (Depends on someone having performed the task 'Examples of files where an Apertium language pair messes up (X)HTML formatting' above).  The task: (1) run the file through Apertium try to identify where the tags are broken or lost: this is most likely to happen in a structural transfer step; try to identify the rule where the label is broken or lost (2) repair the rule: a conservative strategy is to make sure that all superblanks (&lt;b pos="..."/&gt;) are output and are in the same order as in the source file. This may involve introducing new simple blanks (&lt;b/&gt;) and advancing the output of the superblanks coming from the source. (3) test again (4) Submit a patch to your mentor (or commit it if you have already gained developer access) 
98	Examples of minimum files where an Apertium language pair messes up wordprocessor formatting	  Sometimes, an Apertium language pair takes a valid ODT or RTF source file but delivers an invalid HTML/XHTML target file, regardless of translation quality. This can usually be blamed on incorrect handling of superblanks in structural transfer rules. The task: (1) select a language pair (2) Install Apertium locally from the Subversion repository; install the language pair; make sure that it works (3) download a series of ODT or RTF files for testing purposes. Make sure they are opened using LibreOffice/OpenOffice.org (4) translate the valid files with the language pair (5) check if the translated files are also valid ODT or RTF files; select those that aren't (6) find the first source of non-validity and study it, and strip the source file until you just have a small (valid!) source file with some text around the minimum possible example of problematic tags; save each such file and describe the error. 
99	Make sure an Apertium language pair does not mess up wordprocessor (ODT, RTF) formatting	 (Depends on someone having performed the task 'Examples of files where an Apertium language pair messes up wordprocessor formatting' above).  The task: (1) run the file through Apertium try to identify where the tags are broken or lost: this is most likely to happen in a structural transfer step; try to identify the rule where the label is broken or lost (2) repair the rule: a conservative strategy is to make sure that all superblanks (&lt;b pos="..."/&gt;) are output and are in the same order as in the source file. This may involve introducing new simple blanks (&lt;b/&gt;) and advancing the output of the superblanks coming from the source. (3) test again (4) Submit a patch to your mentor (or commit it if you have already gained developer access) 
100	Start a language pair involving Interlingua	 Start a new language pair involving <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Interlingua">Interlingua</a> using the <a rel="nofollow" class="external text" href="http://wiki.apertium.orghttp://wiki.apertium.org/wiki/Apertium_New_Language_Pair_HOWTO">Apertium new language HOWTO</a>. Interlingua is the second most used "artificial" language, after Esperanto). As Interlingua is basically a Romance language, you can use a Romance language as the other language, and Romance-language dictionaries rules may be easily adapted. Include at least 50 very frequent words (including some grammatical words) and at least one noun--phrase transfer rule in the ia→X direction. 
101	Generating 'machine translation memories'	 Write a shell script and (using the filter definition files found in the documentation) a filter that takes a plain text file, segments it in sentences using the program segment and an <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Segmentation_Rules_eXchange">SRX</a> specification (which can be borrowed from <a rel="nofollow" class="external text" href="http://www.omegat.org/">OmegaT</a>) and writes a <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/Translation_Memory_eXchange">TMX</a> file in which each segment is paired with its Apertium translation, ready to be used with OmegaT as a "machine translation memory" 
102	scraper for all wiktionary pages in a category	 a script that returns urls of all pages in a wiktionary category recursively (e.g., <a rel="nofollow" class="external free" href="http://en.wiktionary.orghttp://wiki.apertium.org/wiki/Category:Bashkir_nouns">http://en.wiktionary.orghttp://wiki.apertium.org/wiki/Category:Bashkir_nouns</a> should also include pages from <a rel="nofollow" class="external free" href="http://en.wiktionary.orghttp://wiki.apertium.org/wiki/Category:Bashkir_proper_nouns">http://en.wiktionary.orghttp://wiki.apertium.org/wiki/Category:Bashkir_proper_nouns</a> ) 
103	 scraper of wiktionary translations between language x and y 	Write a script that for a given *English* wiktionary page (e.g., <a rel="nofollow" class="external free" href="http://en.wiktionary.org/wiki/key">http://en.wiktionary.org/wiki/key</a> ) returns all available translations between two specified languages, with part of speech and meaning/sense for each, and outputs in dix format.
104	better wikipedia extractor script	 Make a single script that performs all the steps listed at <a href="http://wiki.apertium.org/wiki/Wikipedia_Extractor" title="Wikipedia Extractor">Wikipedia Extractor</a>.  That is, it should take a wikipedia dump file as input and output a file that is for all intents and purposes identical to what is output by the last step listed on the wiki.  There should be no intermediate files stored anywhere, and it should not use any more memory than absolutely necessary, but feel free to use as much of the existing code as you need.  You may wish to consult guampa's [much-improved] fork of the WikiExtractor script at <a rel="nofollow" class="external autonumber" href="https://github.com/hltdi/guampa/tree/master/wikipedia-import">[6]</a>, though it doesn't do everything itself either. 
105	Document materials for a language not yet on our wiki	 Document materials for a language not yet on our wiki.  This should look something like the page on <a href="http://wiki.apertium.org/wiki/Aromanian" title="Aromanian">Aromanian</a>—i.e., all available dictionaries, grammars, corpora, machine translators, etc., print or digital, where available, whether Free, etc., as well as some scholarly articles regarding the language, especially if about computational resources. 
106	Tag and align a corpus	
107	Write a program to convert the Giellatekno Faroese CG to Apertium tags	 Write a program which converts the tagset of the Giellatekno Faroese constraint grammar. 
		
		
		
111	Apertium plugin for WikiBhasha	 Make a plugin for <a rel="nofollow" class="external text" href="http://www.mediawiki.orghttp://wiki.apertium.org/wiki/Extension:WikiBhasha">WikiBhasha</a> that can be used to translate content using the <a href="http://wiki.apertium.org/wiki/API" title="API" class="mw-redirect">apertium API</a> (or <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a>), with a way to specify the API url to use in a configuration option. 
112	Make WikiBhasha take content from any language's wikipedia	 Modify the code of <a rel="nofollow" class="external text" href="http://www.mediawiki.orghttp://wiki.apertium.org/wiki/Extension:WikiBhasha">WikiBhasha</a> so that it can use ("collect") content from an arbitrary language's wikipedia.  Currently it only takes data from the English-language wikipedia. 
		 Write a script which takes <a href="http://wiki.apertium.org/wiki/GIZA%2B%2B" title="GIZA++" class="mw-redirect">GIZA++</a> alignments and outputs a <code>.dix</code> file. The script should be able to reduce the number of tags, and also have some heuristics to test if a word is too-frequently aligned. 
114	Scraper for freely available forum content	 Write a script to scrape/capture all freely available content for a forum or forum category and dump it to an xml corpus file or text file. 
115	Investigate how orthographic modes on kk.wikipedia.org are implemented	 <a rel="nofollow" class="external text" href="http://kk.wikipedia.org">The Kazakh-language wikipedia</a> has a menu at the top for selecting alphabet (Кирил, Latın, توتە - for Cyrillic-, Latin-, and Arabic-script modes).  This appears to be some sort of plugin that transliterates the text on the fly.  Find out what it is and how it works, and then document it somewhere on the wiki.  If this has already been documented elsewhere, point a link to that, but you still should summarise in your own words what exactly it is. 
