aadhdhayis	aaashsho
akeekiyooge	achchaara
akeekiyoogee	achchan
akeekiyoowode	achchanaassi
akeekkiyoogaa	achchay
akeekoosona	achchees
akeekoy	achchidi
akeekoynne	achchiis
akeekuwa	achchiyogee
akeekuwaayyo	achene
akeekuwappe	aciya
akkay	acotiis
akkeekaa	acoy
al	acoyiis
alaa	acquiringknowledge
alaahees	actascompetitor
alaaheessinne	acuwa
alame	acuwan
alamee	acuwassi
alamiya	acuwawa
alamiyaagaappe	ad
alamiyaara	'ada'
alamiyan	adaaqo
alamiyassi	adaariya
alana	adaashiniya
alanawunne	adaba
alimaaya	adabaa
aliya	adabenna
aliyaa	adabiis
aliyaappe	adabukku
aliyo	adam's
aliyoo	adaraasaasu
aliyoogaa	adaraashaa
aliyoogee	adaraashan
allaaliya	adaraasiis
allaaliyaba	adaraasissa
allaalle	adaraassiya
allaallee	adaraasuwa
allaalleta	adda
allaalleti	addaa
allaalliya	addaaruwa
allaalliyan	addaraasha
allaalliyawu	addaraashaa
allaaro	addaraashan
allaga	adde
allattaa	addee
allattaykka	addettidosona
allaxxanawu	addettiis
allaxxiiddi	addettin
allaxxiyo	addettuwa
allaxxiyooga	addile
alleeqiyooban	addinaa
alleeqonne	addiniitaa
alliqaretti	addiniitaakka
amaadoy	addiniitay
amaaratto	'addis
amaarattonne	addisaaban
amaarattoy	addisaabappe
amaarattuwa	addisaabi
amaarattuwaa	addiya
amaarattuwaadan	addle
amaarattuwara	adduqiyay
amaaridaagee	adduqqoosona
amaaridaageeti	addussa
amarata	addussana
amarida	addussanaw
amaridaagaa	addussanne
amaridaagee	adhdhiis
amaridaageeta	adiki
amaridaageeti	adile
amaridaageti	adiliya
amaridaaggaa	adiniitaa
amaridabaa	adisaaba
amaridageeta	adisaabi
amassalee	adiya
ambbaa	adp
ambban	adrenalin
ambbatu	adrenalinee
ambbatun	adulteration
ambbatuppe	adulteress
ambbatuuninne	adumaa
amerikka	aduqissiis
amerkka	aduqqees
amerkkaa	aduqqidi
amerkkan	aduqqiis
amisiliya	aduqqoosona
ammanaas	adussa
ammananaadan	adussaa
ammananawu	adussanne
ammanees	adussasaa
ammaneettenna	adussatettaa
ammanennaagaa	adussatettay
ammanettennaaga	adussees
ammanettennaagaa	adussiis
ammanettidi	aduwa
ammanettin	adversarial
ammanettiyo	adversary's
ammanettiyoogaa	advesary
ammanettiyooganne	aegyptica'
ammaniya	aerogram
ammaniyaa	aeroplane
ammaniyaagaa	afaid
ammaniyo	afalaa
ammaniyoba	afalay
ammaniyoobanne	afare
ammaniyoogee	afarssaataa
ammannees	afarssaatay
ammano	affray
ammanoosona	afigaanittaane
ammanosoona	afilaama
ammanoy	afilaamaa
ammanttada	afilaamay
ammanttana	afirkka
ammanttanaakko	afirkkaa
ammanttanawu	afkaato
ammanttees	afkaatoy
ammanttennaba	afkaatuwa
ammanttikko	afkkaatoy
ammanttiya	africana
ammanttiyaga	afrikaw
ammanttiyageeta	afro
ammanuwa	afterbirth
ammanuwaadan	afuluuqiis
ammanuwaara	afuluuquwa
ammanuwadan	afunttaa
ammanuwan	afutta
ammanuwanne	afuttaa
ammanuwappe	afuttay
ammanuwawu	afutttaa
ammattana	afuutee
amottiyoonne	afuutiis
amount	afuutiya
amppada	afuxissiis
amppidi	afuxissiya
amridaba	afuxxiis
amridabaa	agaagaa
amridageeta	agaasu
amuwappe	agacees
an	agacida
ana	agaciis
anaappe	agamasaa
analysis	agamasiis
anawu	aganaassi
anawukka	agenna
anchchati	agettaa
anchchay	agettay
and	agettiyosaa
ane	agga
ani	aggaaga
anjjiyoo	aggaagada
anjjiyoogaa	aggaagoppa
anjjiyoogaappe	aggaas
anne	aggaasu
ano	aggada
anonne	aggana
anotakka	agganaagee
anttin	agganabaakko
antto	agganawkka
anttoy	agganee
anttuwan	aggees
anwu	aggenna
appe	aggennaadan
approach	aggennan
approval	aggibayiis
approve	aggidaakko
approved	aggidi
aprocess	aggido
aqi	aggidoogee
aqiyaageeti	aggii
aqiyoogaana	aggiigeettees
aqo	aggiigidi
aqofaappe	aggiigidosona
aqoppa	aggiigiis
aquwa	aggiis
aquwaa	aggikke
aquwaanne	aggikkii
aquwan	aggikko
aquwanne	aggiyakko
arbba	aggokkona
arbbee	aggokkonna
arbbi	aggoos
area	aggoppa
arggo	aggravating
arggobbatto	aggukku
arggonne	agiis
arggotuuge	agina
argument	aginaa
argumentation	aginaara
argumentative	aginaassi
arshotuugeenne	aginan
arshsho	aginappe
arssappenne	aginata
as	aginatu
asa	aginay
asaa	aginiya
asaabaa	agiyagaa
asaabonchchana	agiyosaa
asaagee	agiyosay
asaakko	agobariya
asaanne	agobariyan
asaappe	agozee
asaara	'agozia'
asaaraa	agoziya
asaarakka	agriculturalist
asaassi	agriculturist
asaba	agronomist
asabaa	agunttaa
asadan	agunttan
asan	agunttattiya
asappe	agunttay
asassi	aguppiya
asata	agurettaa
asatetta	agurettay
asati	aguridi
asatikka	aguriis
asattamaaree	aguwa
asatu	aguwappe
asatun	aha
asatuppe	ahaa
asawu	ahaaya
asawukka	ahchca
asawuu	aheeraa
asay	ai
asaykka	aiis
asaynnee	aja
asee	ajaa
ashanggo	ajaajje
ashanggoy	ajaajjee
ashangguluutiya	ajaajjiis
ashkkettikko	ajaajjiya
ashonne	ajaawa
ashsha	ajabaa
ashshanwu	ajabidi
ashsharkkii	ajabiis
ashshennan	ajanddaa
ashshoppa	ajjooraa
ashuwa	ajjuutaa
ashuwan	ajora
ashuwawu	ajuubaa
asi	akaafaa
asinne	akaafan
asoo	akaliina
asppe	akaraara
assa	akasha
assanawu	akashaasha
assi	akataa
assimilation	akatiya
asskko	akatiyan
assumma	akeeka
assy	akeekaa
asttamaare	akeekaaninne
asttamaaree	akeekan
asttamaareta	akeekay
asttamaareti	akeekees
asttamaaretikka	akeekennan
asttamaaretikks	akeekidi
asttamaaretinne	akeekiis
asttamaaretu	akeekkan
asttamaaretun	akeekkennan
asttamaaretuppe	akenis
asttamaaretussinne	akiliiliya
asttamaaretuuni	akirobaatiya
asttamaariya	akiroobaatiya
asttamaariyaanttaara	akisuume
asttamaariyan	akkaa
asttamaariyappe	akkamiis
asttamaariyawu	akkamiya
asumma	akkammiis
asummaa	akkamoy
asummatettaa	akkamuwa
asummatettay	akkattiis
asy	akkay
asymmetric	akkeechcho
ataarike	akkirssa
atettaa	akkirssaa
atettaanne	akko
atfe	akliiliya
ati	akttere
attabay	aktteriya
attacking	al
attamiya	alaadiya
attana	alaafe
attanaadan	alaafee
attaychchaasu	alaafetetta
attees	alaafetettaa
attenna	alaafetettaappe
attennaaga	alaafiya
attennaagaa	alaahii
attennaba	alaahiis
attennan	alaahuwa
attes	alaas
attida	alaassaa
attidoogee	alabeykke
attii	alalaa
attiichchiis	alame
attiis	alamee
attikko	alamiya
attin	alamiyaban
attinin	alamiyan
attis	alanggiya
attiya	albbasxxiroosa
attiyaagaa	albbeemiya
attiyagee	alees
atto	alekisanddere
attomo	alenna
attoshin	alettaa
attuma	alettiis
attumaasaanne	algga
attumaasanne	alggaa
attumaasay	alggaappe
attumaasi	alggan
attumasaynne	alggay
authentic	alibeenna
autobiographical	aliis
autonomous	alissiis
auwdenne	alissuwa
awa	aljano
awaajjoy	'aljanuwa'
awaajjuwa	aljjaanuwa
awaana	aljjaanuwaw
awaanninne	alkkoole
awaasidi	alkkooliya
awan	alkoole
awawu	allaaliya
awogee	allaallas
awu	allaalle
awucayin	allaallee
awude	allaallessi
awudee	allaalleta
awudenne	allaalleyyoo
awudeppe	allaalliis
awudiya	allaalliya
awudiyan	allaalliyaw
awudiyanne	allaana
awudiyappe	allaanaa
awugaa	allaatte
awugaakko	allaattiqabeessuwa
awugaanakko	allaattiya
awugaappe	allaga
awugaara	allagaa
awugee	allagatettaa
awugeenne	allagissanaw
awugeeshsha	allagissiis
awugeetakko	allagissuwa
awugeetee	allanaw
awun	allatta
awuogee	allattaa
awuppe	allattaakko
awurooppaa	allawdo
awurophatu	allaxissiis
awuura	allaxxees
awwatettaa	allaxxettaa
ay	allaxxettay
ayba	allaxxiis
aybaa	alleeqees
aybaabaa	alleeqettees
aybaakkonne	alleeqiis
aybaani	alleeqissidosona
aybakko	alleeqissiis
aybakkonne	alleeqo
aybakonne	alleeqotun
aybanne	alleequwa
aybatetota	alleequwaw
aybatetta	allidosona
aybatettaa	alliis
aybatettay	alliqaridosona
aybawu	alliqariis
aybe	alliqaro
aybee	alliqaruwa
aybeeshsha	allissiis
aybi	allknowing
aybiinee	alloted
aybiini	allpowerful
aybiiranne	alluwa
aybin	almaazee
aybinne	almaaziya
aybissa	almmaazee
aybissakko	almuneemiya
aybisse	alo
aybissee	aloolluwa
aybissi	aloy
aybtettaa	althouth
aydenne	alttiraasawnddiya
ayfe	aluminium
ayfebatuppe	aluwa
ayfebay	aluwan
ayfee	aluwassa
ayfeta	am
ayfissidi	amaadoo
ayfiya	amaamiis
ayfiyaa	amaara
ayfiyaakko	amaarattuwa
ayfiyaanne	amaarattuwanne
ayfiyan	amaassalays
ayfiyappe	amaassalidosona
ayi	amaassaliis
ayibakka	amaassaliya
ayibee	amaassaliyogee
ayibinne	amado
ayishsha	amalanchcha
ayiso	amalee
ayiya	amaliis
ayiyye	amaliya
aykka	amanttiya
aylliyo	amara
aymala	amarati
aymalee	amarida
aynne	amaridaageeta
ayohaar	amaridaageeti
ayooha	amassment
ayoohaa	ambbaa
ayso	ambbaanuwa
aysoy	ambbabeessaa
ayssi	ambbawkatamaw
ayssinne	ambbay
ayssiya	ambbiya
ayssiyaa	ambboomaa
ayssiyaageeti	ambboomiis
ayssiyaanne	ambbulanssee
aysso	ambbulanssiya
aysuwa	ame
aysuwaabaa	ameebaa
aysuwaawu	ameerikaanetu
aysuwan	amerca
ayyaanan	amerikkaa
ayyaanay	amerkka
ayyaanu	amerkkan
ayyaanuntta	ametettaa
ayyaanussi	ametettay
ayyo	amini
ayyooha	amiya
ayyoohaa	amiyo
azalla	ammanabeykke
azazo	ammananaw
azazota	ammanays
azazuwa	ammanees
azina	ammanettanaw
b	ammanettees
ba	ammanettenna
baa	ammanettennaagaa
baaburiyan	ammanettidaagaa
baada	ammanettiis
baagaa	ammanettiya
baaggaara	ammanettiyo
baakko	ammanettiyogaa
baako	ammanettiyogee
baalaa	ammanettoppa
baalota	ammanidaageeti
baana	ammanidi
baanaadan	ammaniis
baanaassaara	ammanin
baanasay	ammaniya
baanawu	ammaniyagaa
baasettida	ammaniyageeti
baasettidaagaa	ammaniyaro
baasettidaakko	ammanna
baasettidi	ammannettennaaro
baaso	ammannoos
baasobata	ammano
baasobati	ammanoos
baasonne	ammanoosona
baasonnee	ammanoppa
baasotu	ammanoy
baasoy	ammanttanaagee
baasuwa	ammanttenna
baasuwan	ammanttiis
baasuwana	ammanttikkii
baawa	ammanttiya
baawee	ammanttiyogee
baaxetanawu	ammanttuwa
baaxetaydda	ammanuutee
baaxetees	ammanuwa
baaxetennan	ammanuwaa
baaxetiyoogaa	ammanuwan
baaxetiyoogee	amni
baaxetoosona	amorphousness
baaxiya	amotiis
baaxxooleba	amottees
baaxxoolebaa	amottiis
baaye	amottiya
baayee	amottoos
baayye	amoy
baazzaaninne	amoyees
baazzan	amoyiis
babagga	amppalaa
babbabuwa	amppalay
background	amppettaa
badamoy	amppiis
baddo	amppooliya
badduwa	amputee
badduwaa	amuqa
badhdheesaa	amusaasu
bagaarakka	amusiis
bagga	amusiya
baggaa	amuwa
baggaara	amuwan
baggaarakka	an
baggan	anaaciya
baggappe	anaaciyan
baggara	anaaciyaw
baggati	anaanaasiya
baggay	anaaxee
baggi	anaaxiya
bakkaalo	anaaxiyan
bala	anaaxiyassi
balaa	anahaa
balakkuwa	anahiis
balbbuqiyooga	analyzation
balbbuqiyoogan	ananoote
balettiichchanaakkonne	anccawsu
balgguwan	anccennan
bali	anccettaa
baliyan	anccettay
balla	anccettida
ballaa	ancciis
ballattidaba	ancco
ballay	anccuwa
bambbaree	ancestors'
bana	ancients'
banatettaa	andor
bankke	ane
bankkiya	anee
bankkkiya	anggaa
banqqa	anggaasuwa
banta	anggaawa
bantta	anggata
banttaa	anggati
banttaagaa	anggatiis
banttana	anggaw
banttanaara	anggilee
banttappe	anggiliya
banttarkka	anggooliya
banttason	anha
banttawu	anhaa
baqee	anhay
baqqa	anhees
baqqidi	'ani'
baqqiyasan	anima
baqqoosona	animal's
barchche	animals'
barchchetennan	animoomeetiriya
barchcheyiyabanne	anjjaas
barchcheyiyabata	anjjajja
barchcheyiyo	anjjanaw
barchchiyaa	anjjetta
bare	anjjettaasu
baree	anjjettana
bari	anjjettanaw
bariba	anjjettida
baribaa	anjjettidaagaa
baribaara	anjjettidaaro
barina	anjjettidee
barinan	anjjettidi
barissi	anjjettiis
bariya	anjjettiyo
bariyaa	anjjettiyogaa
bariyan	anjjettiyogaadan
bariyyo	anjjettiyogaw
bariyyokka	anjjidi
bariyyoo	anjjido
barkka	anjjiis
barkkanne	anjjullaa
baro	anjjullidosona
barqqidabi	anjjulliis
barssi	anjjuwa
barssoy	ankkaa
barssuwa	ankkakka
barssuwanne	ankkakkaasu
base	ankkakkiis
based	ankkoti
basheenne	ankkoy
bashshiis	ankkuwa
bason	annaa
basoo	annaacanchcha
battidi	annaacee
battta	annaacettidosona
batturee	annaacettiis
bawogaa	annaacettiyagaa
bawu	annaacettiyagee
bayanabaa	annaacettiyageetuura
baybo	annaaciis
bayinna	annaaciya
bayinnaan	annaaciyan
bayira	annaaciyaw
baynna	annakki
baynnaagaa	annan
baynnaakko	annay
baynnaba	annee
baynnan	anni
baynne	annidosona
bayra	anniis
bays	ano
bayzettichchana	anointment
bayzettiichchana	anoy
bayzzana	anqqaqulettaa
bayzziya	anqqara
bayzziyy	anqqarees
bazzottiyaa	anqqariis
bduussa	anssoolaa
be	anssoolay
be'a	anssoolaykka
be'aas	anteenaa
be'ada	anthrax
be'ana	antipeople
beegottiya	antonym
beennaba	antonymous
beennabee	anttashee
beennadan	anttashiya
beennan	anttashiyara
beera	antteenaa
beeraa	anttennan
beeraappe	anttettaa
beeray	anttettees
beero	anttettiis
bees	anttettiyoy
beessees	anttiis
beessennabaa	anuca
beetiya	anuuca
beettana	anuufa
beettanaadan	anuwa
beettanee	anuwassi
beettees	anzzaa
beetteesippe	anzzay
beettenna	apartheid
beettennan	apologised
beetti	aportion
beettida	appe
beettidaba	appiliya
beettiiddi	apportunities
beettiis	aqa
beettikko	aqaabiya
beettikkoppe	aqadii
beettiya	aqanaw
beettiyaa	aqaws
beettiyaaba	aqees
beettiyaabata	aqida
beettiyaabatanne	aqidaagee
beettiyaabatinne	aqidi
beettiyaba	aqidosona
beettiyabata	aqiis
beettiyabay	aqiya
beettiyageeta	aqiyagaa
beettiyo	aqiyageetussi
beettiyogeeta	aqiyo
beettiyoo	aqota
beettiyoode	aqotaa
beettiyoogaa	aquittal
beettokkona	aquwa
beetuwa	araadaa
beez	araadan
beezeta	araadanne
beginning	araadattanaw
be'ida	araadattiis
beidaba	araajjiya
be'idi	araataa
be'ido	araatay
be'idoogaadan	arabiya
be'idoogetuppe	aracettaa
be'idosona	aracettaypuusee
be'ite	araciis
be'iyoogaadan	araciyogaa
belongs	aradda
beni	araddatettaa
benibaa	araddiis
beniigaa	araddissaa
benippe	araddissanaw
benjjaamin	araddissees
be'oos	araddissiis
besanawu	arajjaataa
besettida	aramaniya
besibollaa	aramida
besibollawu	arbba
beso	arbbaabiis
bessa	arbbi
bessaal	arborea
bessal	archaeologist
bessana	archaeologists
bessanaadan	archaeology
bessanaassa	arcshaped
bessanaassanne	arees
bessanawu	arettaa
bessanawunne	argentine
bessanwu	argenttayniya
bessees	arggaacaa
besseess	arggaacada
bessenna	arggaacay
bessennaaga	arggaaciis
bessennaba	arggaacissiis
bessennabata	argganttaa
bessennabatishin	arggo
besses	arggokko
bessesppe	arggoora
bessess	arggubbiya
bessi	aridi
bessidi	ariis
bessido	arikiyay
bessii	arisaema
bessiooga	ariya
bessishin	arkki
bessiya	arkko
bessiyaa	arkkooloojee
bessiyaaba	arkkooloojiya
bessiyaabata	arkkotiis
bessiyaakko	arkkoy
bessiyaba	arkkuwa
bessiyabanne	aromaticherb
bessiyabata	aromatize
bessiyabataanne	aromatized
bessiyabatettaa	aromatizing
bessiyabati	arppeellidosona
bessiyagaa	arppeelliis
bessiyagaadan	arppeelluwa
bessiyageta	arqqettaa
bessiyakko	arqqiis
bessiyakkone	arra
bessiyakkonne	arrrived
bessiyakonne	arshsho
bessiyasan	arshshoora
bessiyay	arsonist
bessiyo	arssa
bessiyoba	arssaa
bessiyobati	aruwa
bessiyogaa	aruwan
bessiyogee	as
bessiyoo	asa
bessiyoobaa	asaa
bessiyooga	asaaa
bessiyoogaa	asaabaa
bessiyoogaadan	asaaninne
bessiyooganne	asaanne
bessiyoosa	asaappe
bessiyosa	asaara
bessiyoy	asaaraka
bessoosona	asaassi
betida	asaayyoo
betidi	asabaa
betissiyaa	asadan
betiyaa	asan
betiyo	asanbbusaa
betiyonne	asanne
bettiya	asappe
bi	asappenne
biciriqqi	asaraa
biddiyooga	asaray
bidetta	asasaappe
big	asassi
bihshshettaa	asata
biidaakko	asatetta
biiddi	asatettaa
biidi	asatettay
biido	asatetti
biidosan	asati
biidosona	asattuwa
biigiis	asatu
biikke	asatun
biikko	asatuppe
biiriyanee	asatussi
biisi	asaw
biitaa	asawnne
biitan	asay
biitatuppe	asaynne
biitta	asayyoo
biittaa	ascariasis
biittaabaakka	ascarid
biittaagaa	asee
biittaan	asha
biittaana	ashaaraa
biittaanne	ashaaruwa
biittaappe	ashame
biittaappee	ashangguliitee
biittaara	ashangguliitiya
biittan	ashangguluutiya
biittassi	ashened
biittatakka	ashettaa
biittatettan	ashidosona
biittatikka	ashilaalaasu
biittatu	ashilaaliis
biittatun	ashilaalo
biittatuppe	ashkkaraa
biittatuura	ashkkarati
biittawu	ashkkariis
biittay	ashkkariyo
biittee	ashkke
biitteen	ashkketettaa
biitten	ashkketettan
biitti	ashkketettay
biittiya	asho
biittiyaa	ashodan
biittuppe	ashotiis
bila	ashottees
bilaa	ashoy
bilaana	ashoyiis
bilan	ashshaasu
bilanddettiyoonne	ashsham
bilanddidi	ashshanaw
bilanddiyoogaa	ashshees
bilanddiyoogee	ashshibeenna
bilati	ashshido
bilaynne	ashshiis
bilingual	ashshiya
bin	ashshiyagaa
biographical	ashshiyogee
bira	ashsho
birataa	ashuuraa
birataappe	ashuuraassi
biray	ashuwa
birdhdhees	ashuwanne
birhshshettay	ashuwappenne
birishennan	ashuwara
birishshettay	ashuwassi
biro	asi
biron	asikka
biroon	asinne
birooni	asirataa
birooshureti	asiyo
birrshshidi	aso
birshees	asociation
birshetta	aspirational
birshettaa	asppalttiya
birshettata	assaara
birshshada	assallo
birshshana	assi
birshshanaassinne	assiraalaqaa
birshshanawu	asttamaare
birshshees	asttamaaree
birshshennan	asttamaareessi
birshshetta	asttamaarekka
birshshettaa	asttamaareta
birshshettaadan	asttamaaretu
birshshettaakko	asttamaariya
birshshettaanne	asttamaariyan
birshshettaannee	asttamaariyantta
birshshettaappe	asttamaariyanttoo
birshshettaara	asttamaariyappe
birshshettata	asttamaariyassi
birshshettawu	asttiranne
birshshettay	asttiyaa
birshshettaykka	asummaa
birshshettees	asuwa
birshshetti	at
birshshettibeenne	ataakilttee
birshshettide	ataakilttiya
birshshettiyaaba	ataakilttiyan
birshshettiyoogaa	atalaa
birshshi	ataraa
birshshidi	ataraynne
birshshido	atatuyso
birshshiqonccissanawu	ateam
birshshishin	atettaa
birshshiyaa	atomiya
birshshiyaaba	atotettaa
birshshiyaba	atotettay
birshshiyakko	atree
birshshiyo	attaagaa
birshshiyoogaa	attaasa
birshshiyoogaanne	attamana
birshshiyoogaappe	attamettiis
birshshiyoogee	attamiis
birshsiyoogaa	attamissanaw
birxxottin	attamissuwa
bishikiliitiyawu	attamiyagaa
bishshettaa	attamiyagaassi
bisrshshanawu	attamoy
bitanee	attamuwa
bittaa	attana
bixaalay	attanaw
bixe	attenabaa
biya	attenna
biyaaba	attennabaa
biyaabappe	attennan
biyaabee	atti
biyaagaa	attida
biyaba	attidaagaa
biyiyaakko	attidabaa
biyo	attidabatuppe
biyogee	attido
biyoo	attidoogaa
biyoode	attidooro
biyooga	attidosona
biyoogaa	attiis
biyoogee	attin
biyoogeenne	attinya
bizza	attiyagee
bizzanne	attiyogaa
bizzatettay	attiyogee
bochchana	attiyosaa
bochchenna	atto
bochchennan	attoogaassi
bochchido	attoogee
bochchiya	attuma
bochchiyaga	attumaa
bochchna	attumaagaa
bochchoosona	attumanne
bodditte	attumatettaa
bodditten	attumatettaynne
body	aunt's
bogee	autoimmune
bohettidi	aw
bolla	awa
bollaa	awaa
bollaakka	awaajjibookkonna
bollaana	awaajjiis
bollaara	awaajjiyagaa
bollaaraa	awaajjiyogee
bollan	awaajjuwa
bollankka	awaanakko
bollara	awaanee
bollatettaa	awaankka
bollatiya	awaappe
bollay	awaaqe
bolli	awaaqetiis
bollikka	awaaqiya
bollinne	awaasidosona
bolluwaa	awaasiis
bonchchiyooge	awaasiya
bonchcho	awan
bonchchoy	awanakko
bonchchoynne	awaninne
bonchchuawa	awankka
bonchchuwa	awankko
bonchchuwadan	awanne
boohuwa	awappe
boo'iya	awaxxees
boojiiddi	awaxxiis
boolima	awaxxikko
boolimissidi	awaxxiyode
boolla	awcaacciniya
boollaa	awcayaa
boollaara	awcayaasu
boonawu	awcayiis
booppa	awcayuwa
boosona	awciya
bootta	awddashidosona
booxooxissanawu	awddashiis
booxxida	awddashiya
boquray	awde
boranaassa	awdee
boranawu	awdekka
boranawunne	awdenne
bore	awdiya
boreettees	awee
bori	awgaa
borichcha	awgaakko
boride	awgee
borinashuwaawu	awkko
boriyo	awlayetiis
boriyoogee	awlayiya
borodda	awnkko
boroddaan	awnna
borsso	awnnii
bosherettana	awnnissi
bosherettiidi	awnno
boshettees	awnnokko
bottokonidi	awppe
bottokoniyooga	awraajjaa
boxooxidi	awrii
boxooxissees	awroophphaa
boxooxissidi	awrooppaa
boxooxississana	awrooppatu
boxooxissiya	awtiya
boxooxissoosona	ax
boxxooxxissa	axaaree
bukkanawu	axaaretettaa
bulcci	axaariya
bulcciin	axaariyassi
bulchchaa	axe
